feature1,feature2,correlation,p-value
averageBadWordsRatio,diffSecondPronounsToWordRatio,-0.000665604082149,0.955620123907
averageBadWordsRatio,diffTextDisplayLength,-0.00110315753291,0.926511999518
averageBadWordsRatio,diffTextDisplayProcessedLength,-0.00115415482656,0.923125057876
averageBadWordsRatio,diffTextDisplayProcessedWordsCount,-0.00122096484661,0.918690044895
averageBadWordsRatio,diffTextDisplayWordsCount,-0.0011235251711,0.925159137081
averageBadWordsRatio,readabilityScore,0.370184215881,4.70579719741e-226
averageBadWordsRatio,diversityScore,0.0449443768445,0.00017014197345
averageCapitalLetterRatio,averageCapitalWordRatio,0.908720216108,0.0
averageCapitalLetterRatio,averageEmoticonCount,0.0325702440431,0.00645170140922
averageCapitalLetterRatio,averageEmoticonToWordRatio,0.0773403567016,9.41440080468e-11
averageCapitalLetterRatio,averageFirstPronounsCount,-0.111770220457,6.9566876469e-21
averageCapitalLetterRatio,averageFirstPronounsToWordRatio,-0.000741066377036,0.950594699731
averageCapitalLetterRatio,averageHatewordsCount,-0.107559232313,1.89611664372e-19
averageCapitalLetterRatio,averageHatewordsRatio,0.00963545433693,0.42045539974
averageCapitalLetterRatio,averageInsultsCount,-0.0502508781457,2.62132065275e-05
averageCapitalLetterRatio,averageInsultsRatio,0.00884102209925,0.459782331076
averageCapitalLetterRatio,averageLikeCount,0.0012709513691,0.915373462534
averageCapitalLetterRatio,averageNegativeCoefficient,-0.113598779368,1.59169211164e-21
averageCapitalLetterRatio,averageNeutralCoefficient,0.0883586313207,1.34071683522e-13
averageCapitalLetterRatio,averagePositiveCoefficient,0.113598779368,1.59169211164e-21
averageCapitalLetterRatio,averageProfanityWindow2,-0.0224643337376,0.0603179597141
averageCapitalLetterRatio,averageProfanityWindow3,-0.014589906075,0.222496929442
averageCapitalLetterRatio,averageProfanityWindow4,0.00362140966629,0.762054329342
averageCapitalLetterRatio,averageProfanityWindow5,-0.0320539239217,0.00734700932806
averageCapitalLetterRatio,averagePunctuationRatio,0.219198339162,7.70274925556e-77
averageCapitalLetterRatio,averageSecondPronounsCount,-0.115124133199,4.56600284923e-22
averageCapitalLetterRatio,averageSecondPronounsToWordRatio,-0.046719166171,9.29529997418e-05
averageCapitalLetterRatio,averageTextDisplayLength,-0.150174891145,1.4860371644e-36
averageCapitalLetterRatio,averageTextDisplayProcessedLength,-0.12587257549,4.27673647301e-26
averageCapitalLetterRatio,averageTextDisplayProcessedWordsCount,-0.131760503819,1.8616628525e-28
averageCapitalLetterRatio,averageTextDisplayWordsCount,-0.161981210859,2.54034658721e-42
averageCapitalLetterRatio,badWordsCount,-0.0430431146958,0.000317643212895
averageCapitalLetterRatio,badWordsRatio,0.00451140103254,0.706027509662
averageCapitalLetterRatio,before,-0.0281415834096,0.0186045317205
averageCapitalLetterRatio,capitalLetterRatio,0.685836516606,0.0
averageCapitalLetterRatio,capitalWordRatio,0.619060128374,0.0
averageCapitalLetterRatio,emoticonCount,0.0210746043996,0.0780309986761
averageCapitalLetterRatio,emoticonToWordRatio,0.0553586176183,3.62076107723e-06
averageCapitalLetterRatio,firstPronounsCount,-0.0724859987985,1.29125902799e-09
averageCapitalLetterRatio,firstPronounsToWordRatio,-0.00284200503911,0.812177174018
averageCapitalLetterRatio,hatewordsCount,-0.0712719714407,2.42275475549e-09
averageCapitalLetterRatio,hatewordsRatio,0.0057320651364,0.631755541643
averageCapitalLetterRatio,insultsCount,-0.0354678241953,0.00301337706856
averageCapitalLetterRatio,insultsRatio,0.00474782477444,0.691393922185
averageCapitalLetterRatio,isComment,0.0217489358356,0.0689684414413
averageCapitalLetterRatio,likeCount,0.00066662116575,0.955552378876
averageCapitalLetterRatio,negativeCoefficient,-0.0659288842191,3.42360807342e-08
averageCapitalLetterRatio,neutralCoefficient,0.0568351963723,1.97671742291e-06
averageCapitalLetterRatio,positiveCoefficient,0.0659288842191,3.42360807342e-08
averageCapitalLetterRatio,profanityWindow2,-0.0114330831801,0.339101389246
averageCapitalLetterRatio,profanityWindow3,-0.00781535625942,0.513468957799
